ID;STATUS;AANBIEDER;AANSLUITINGEN;DATUMPLAATSING;ADRES;geo_shape;geo_point_2d
308052.0;Bestaand;Allego;2.0;2022-09-14T04:00:00+02:00;Landleven;"{""coordinates"": [5.413157932576682, 51.43134535905241], ""type"": ""Point""}";51.43134535905241, 5.413157932576682
308057.0;Bestaand;OPCHARGE;2.0;2022-11-01T02:00:00+01:00;Doelenstraat;"{""coordinates"": [5.454558900886318, 51.44151033884862], ""type"": ""Point""}";51.44151033884862, 5.454558900886318
308070.0;Bestaand;EVnetNL;2.0;2022-10-19T04:00:00+02:00;Diekirchlaan;"{""coordinates"": [5.474603280457482, 51.47120810152231], ""type"": ""Point""}";51.47120810152231, 5.474603280457482
308072.0;Bestaand;OPCHARGE;2.0;2022-10-31T02:00:00+01:00;Boschdijk;"{""coordinates"": [5.469033849675175, 51.44731231329447], ""type"": ""Point""}";51.44731231329447, 5.469033849675175
308078.0;Bestaand;E-flux;2.0;2022-09-12T04:00:00+02:00;Normandiëlaan, th HU 51;"{""coordinates"": [5.45184575354837, 51.480811042189345], ""type"": ""Point""}";51.480811042189345, 5.45184575354837
308458.0;Bestaand;Vattenfall;2.0;2023-05-02T04:00:00+02:00;Cornelis Bloemaertstraat;"{""coordinates"": [5.459729131494316, 51.46174209384229], ""type"": ""Point""}";51.46174209384229, 5.459729131494316
308469.0;Bestaand;Vattenfall;2.0;2023-05-04T04:00:00+02:00;Roostenlaan;"{""coordinates"": [5.492330830783762, 51.419828855972085], ""type"": ""Point""}";51.419828855972085, 5.492330830783762
308486.0;Bestaand;OPCHARGE;2.0;2023-07-19T04:00:00+02:00;Gustaaf de Smetlaan;"{""coordinates"": [5.51131085383193, 51.42785905962748], ""type"": ""Point""}";51.42785905962748, 5.51131085383193
308495.0;Bestaand;Park n charge;2.0;2023-08-01T04:00:00+02:00;Kempensebaan 2;"{""coordinates"": [5.501692558518794, 51.44074457670109], ""type"": ""Point""}";51.44074457670109, 5.501692558518794
308505.0;Bestaand;Park n charge;2.0;2023-08-21T04:00:00+02:00;Jericholaan;"{""coordinates"": [5.485910590300432, 51.47577133850668], ""type"": ""Point""}";51.47577133850668, 5.485910590300432
308559.0;Bestaand;OPCHARGE;2.0;2023-11-01T02:00:00+01:00;D’r Holtroplaan thnr7;"{""coordinates"": [5.429011317658672, 51.439436147277924], ""type"": ""Point""}";51.439436147277924, 5.429011317658672
308561.0;Bestaand;OPCHARGE;2.0;2023-11-01T02:00:00+01:00;Grasbeemd;"{""coordinates"": [5.412287452057285, 51.4349423098948], ""type"": ""Point""}";51.4349423098948, 5.412287452057285
308563.0;Bestaand;OPCHARGE;2.0;2023-11-07T02:00:00+01:00;Zandbloem;"{""coordinates"": [5.405622698025012, 51.44583844835317], ""type"": ""Point""}";51.44583844835317, 5.405622698025012
308440.0;Bestaand;Vattenfall;2.0;2023-03-09T02:00:00+01:00;Kastanjelaan;"{""coordinates"": [5.4554752303847085, 51.445427578637165], ""type"": ""Point""}";51.445427578637165, 5.4554752303847085
308452.0;Bestaand;Vattenfall;2.0;2023-05-02T04:00:00+02:00;Mainelaan 107;"{""coordinates"": [5.433699537732841, 51.4850187752135], ""type"": ""Point""}";51.4850187752135, 5.433699537732841
308473.0;Bestaand;Park n charge;2.0;2023-05-11T04:00:00+02:00;Vlokhovenseweg;"{""coordinates"": [5.484096989101885, 51.47269578946575], ""type"": ""Point""}";51.47269578946575, 5.484096989101885
